input,output
"An act to To establish a federal right-to-repair law requiring manufacturers of consumer electronics, agricultural equipment, medical devices, and motor vehicles to provide owners and independent repair shops with access to parts, tools, diagnostic software, and repair manuals at fair market prices.",Bill
"Legislation to create a National Climate Resilience Fund, capitalized at $100 billion over ten years, to support state, local, and tribal governments in funding infrastructure hardening, flood mapping updates, wildfire mitigation, coastal protection, and community relocation projects in high-risk areas.",Bill
A proposed law to to reform qualified immunity doctrine for law enforcement officers by removing it as a defense in excessive force and unlawful search cases unless the officer can demonstrate that their conduct was explicitly authorized by clearly established law at the time of the incident.,Bill
"To require all large publicly traded corporations to annually disclose their effective federal tax rate, country-by-country tax payments, and any use of offshore tax havens, with public reporting requirements and penalties for non-compliance enforced by the Securities and Exchange Commission.",Bill
"An act to To invest $75 billion in a Green Jobs Corps program providing paid training, apprenticeships, and employment opportunities in clean energy installation, energy efficiency retrofits, electric vehicle manufacturing, and environmental restoration for young adults aged 18-35, with priority for disadvantaged communities.",Bill
"Legislation to protect reproductive health care access by codifying the right to contraception, emergency abortion care, and interstate travel for reproductive services, while prohibiting federal funding restrictions on providers that offer comprehensive reproductive health services.",Bill
"Legislation to to establish a federal database of police use-of-force incidents, misconduct complaints, and disciplinary actions, requiring mandatory reporting by all law enforcement agencies receiving federal funding, with public access provisions subject to privacy protections for individuals.",Bill
"To amend immigration law to increase annual family-based and employment-based visa caps, eliminate per-country limits that create decades-long backlogs, provide a pathway to citizenship for long-term undocumented residents meeting character and tax compliance requirements, and expand protections for farmworkers.",Bill
"Draft law to To fund accelerated research, development, demonstration, and deployment of advanced nuclear reactor technologies, including small modular reactors and microreactors, through public-private partnerships, loan guarantees, and a dedicated R&D center of excellence at national laboratories.",Bill
"Legislation to prohibit the use of algorithmic decision-making systems in high-stakes contexts (employment, housing, credit, education, criminal justice) unless they have been independently audited for bias, fairness, and disparate impact, with mandatory disclosure of system performance metrics.",Bill
"A proposed law to to expand the child tax credit to $3,600 per child under age 6 and $3,000 for children 6-17, make it fully refundable and monthly, and index it to inflation, with phase-outs starting at higher income thresholds to target middle- and working-class families.",Bill
"To create a federal program providing matching grants to states that adopt automatic voter registration systems integrated with motor vehicle departments, public assistance agencies, and other government touchpoints, aiming for 90% registration rates among eligible citizens by 2032.",Bill
"Presidential directive directing all federal agencies to achieve net-zero greenhouse gas emissions from operations, buildings, fleets, and supply chains by 2040 at the latest, with interim targets of 50% reduction by 2030, and requiring annual public progress reports with third-party verification.",Executive Order
"Cabinet order establishing a National Climate Adaptation Strategy Implementation Task Force chaired by the White House Climate Advisor, coordinating across agencies to prioritize resilience investments, update vulnerability assessments every five years, and integrate adaptation into all federal permitting and funding decisions.",Executive Order
"It is hereby ordered that the federal government shall transition its entire non-tactical vehicle fleet to zero-emission vehicles by 2035, with accelerated procurement of electric and hydrogen fuel cell vehicles, charging infrastructure deployment at federal facilities, and workforce training programs for maintenance personnel.",Executive Order
"Cabinet order on Advancing Environmental Justice and Cumulative Impact Assessments, requiring agencies to identify and address disproportionate environmental and health burdens on overburdened communities before approving major infrastructure, energy, or permitting actions.",Executive Order
"Order requiring federal contractors and grantees with contracts over $250,000 to adopt comprehensive diversity, equity, inclusion, and accessibility plans, conduct annual pay equity audits, and report workforce demographic data publicly, with preference in future awards for demonstrated progress.",Executive Order
